symbol,start_date,end_date,days,start_price,end_price,total_return,avg_volume,volatility,sharpe_ratio,recent_return,trend
ADVANC,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,156.42510986328125,310.0,98.1779014065877,5641252.128205128,19.608259756336253,0.8253736775462504,6.896551724137923,bullish
AOT,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,63.541412353515625,54.0,-15.01605331092033,23989755.913978495,26.355584252943444,0.00282870722906757,42.10526315789473,bullish
AP,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,5.632147312164307,8.5,50.919347965947324,14247297.435897436,27.403439616731625,0.4502449082611472,5.5900596099744515,bullish
AWC,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,4.87822961807251,2.0,-59.00151988355478,58816943.25889165,33.22178320824535,-0.3941016885480216,-14.52991139489036,bearish
BANPU,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,5.563331127166748,5.0,-10.125788206563879,96134728.84532672,37.37587274799202,0.1263399691524176,3.7344361395858616,bullish
BAY,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,24.04166603088379,24.600000381469727,2.32236131168575,805781.9685690653,26.739538168249755,0.1458963295526996,3.797466622607182,bullish
BBL,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,104.85374450683594,163.5,55.93148415347304,8656281.033085193,19.81182099637976,0.5665917151214135,9.000000000000007,bullish
BCH,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,11.647003173828123,10.100000381469728,-13.282410670537558,13923741.521918941,29.071028452070124,0.042553514558508664,-23.484844489312074,bearish
BCP,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,17.162628173828125,27.0,57.318562906194146,7028113.304383788,35.53243990929859,0.443117993393398,-14.28571428571429,bearish
BDMS,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,19.180517196655277,19.200000762939453,0.10157998392021916,40287134.71133168,22.080801544880764,0.11099456660747514,-9.004737365781645,bearish
BEM,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,8.467148780822754,5.400000095367432,-36.22410288103248,38201191.88585608,23.018262482506483,-0.292392621895047,0.0,bearish
BGRIM,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,47.07542419433594,14.699999809265137,-68.77351598876548,12960793.631100083,35.6210043507059,-0.5036598744006623,2.797200092273,bullish
BH,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,110.04541015625,164.0,49.02938683870739,2956773.3250620347,27.338815959123448,0.43993603696017397,-10.869565217391308,bullish
BJC,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,34.109710693359375,15.100000381469728,-55.73108046205311,5385866.170388751,29.773856862769087,-0.4216701919678599,-26.699028631802356,bearish
BTS,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,9.263303756713867,2.539999961853028,-72.57997763473875,48549421.80810587,30.837430077317208,-0.7167736898140602,-23.03030307408972,bearish
CBG,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,104.20399475097656,42.25,-59.454529453532245,5065566.00496278,33.082503707704525,-0.40406537272414755,-27.467811158798284,bearish
CENTEL,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,25.14544486999512,30.0,19.30590273945636,3584147.866004963,36.24554190823712,0.2828468426274055,-6.25,bullish
CHG,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,2.1533408164978027,1.5399999618530271,-28.483222439553913,44021873.5318445,30.138463235356372,-0.08130404872246569,-9.941524707693272,bearish
COM7,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,16.528453826904297,20.899999618530277,26.448606974417466,14057795.698924731,35.53898742579142,0.31521499915281376,-14.344262519340244,bullish
CPALL,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,59.57859420776367,43.25,-27.40681351228642,26569343.330024812,22.995155125015145,-0.17570813796469664,-9.424083769633507,bearish
CPF,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,23.821176528930664,20.600000381469727,-13.522321802824644,23009233.00248139,24.602310026020014,-0.0005765770851122441,-10.822510643789606,bearish
CPN,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,49.44764709472656,53.25,7.689653863588886,8128527.29528536,26.844931888646677,0.19117613739469796,-4.91071428571429,bullish
CRC,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,30.97045135498047,18.700000762939453,-39.61986362871577,12216028.737799834,31.863309855865392,-0.17081155105741222,-18.934128035013444,bearish
DELTA,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,36.33892059326172,197.5,443.4944042796422,21713295.94706369,70.27509290164492,0.8494643452121081,33.445945945945944,bullish
EA,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,46.31614303588867,2.6600000858306885,-94.25686183806464,49265725.39205955,65.0651342519331,-0.5750126949923945,-8.904109029793172,bullish
EGCO,2020-12-14 00:00:00+07:00,2025-12-09 00:00:00+07:00,1209,165.12965393066406,112.5,-31.871715756615473,1188298.6426799006,22.33570568176488,-0.2469800090413577,-1.3157894736842146,bullish
