Stock,annualized_vol,downside_vol,max_drawdown,vol_clustering,autocorr_1d,autocorr_5d,hurst,momentum_strength,beta_to_vnindex,skewness,kurtosis,var_5,cvar_5,limit_hit,trend_change_freq
ABB,0.3713123937198461,0.31049166220100494,-0.756,0.9479638784653626,0.001673035434705941,0.018796459451208402,,0.0014649593268318516,,-0.6603272763867805,10.4548191314944,-0.034643143544506795,-0.05719713028844623,0.019133937562940583,0.026156941649899398
ABI,0.510242712860791,0.4104926075697124,-0.6851595006934812,0.9575684687510507,-0.3108554778468573,-0.06529812079971493,,0.0027924656980456153,,-0.009431340413400739,9.966634917475002,-0.044732268012335354,-0.07739981272532959,0.05063291139240506,0.024726854514088556
ACB,0.35286815791201614,0.3406278643644785,-0.6615087040618955,0.933451507972057,-0.062412586147398544,-0.0496379359648243,,-0.0008617804135646976,,-2.2486658644118696,20.103859847424744,-0.02959907133635957,-0.058625820827563284,0.012585812356979404,0.026872498570611778
ACV,0.31427357742530765,0.22227055026136158,-0.6453781512605041,0.952234535921269,-0.04033210821894866,0.015527880885367636,,0.002518634345397029,,0.42213346462589824,7.705070338190803,-0.026276933701657356,-0.044490222641333656,0.015526164462334674,0.020114942528735632
AGG,0.5518690905556382,0.6980622032581603,-1.0,0.7586799830346043,0.028359186101379354,0.011839100989402596,,0.0007175700431367171,,-19.378054393238997,547.4478455353188,-0.02592884252924015,-0.06098382045644447,0.010416666666666666,0.017614091273018415
AGP,0.558230014323365,0.5549901595179699,-0.559375,0.9552242094218503,-0.20506673727115116,0.04161092353368671,,0.002619825926809538,,0.2755098996043752,8.737646312066952,-0.04166599759132886,-0.0905063903255515,0.06041426927502877,0.023576768257619323
AGR,0.45573253793578633,0.30427278676286335,-0.792057761732852,0.952406946445833,0.08828940336369466,0.03614933164137409,,0.0027842268720732442,,0.08893933215503755,0.8195556530386789,-0.05316289788275953,-0.06645277546183252,0.026857142857142857,0.018275271273557967
ALT,0.7231563090913692,0.9832668601045634,-1.0,0.8954523358855672,-0.019838619749393185,-0.04470643714199125,,0.0004055247056934594,,-5.99287347960173,132.75778852194458,-0.08286582097552264,-0.10504141901455431,0.15120274914089346,0.027475672581568404
AMV,0.5128727854691767,0.4422744201343717,-0.9620253164556962,0.9335919441599883,0.04405935784269944,0.03110434252158298,,0.0006228781193268751,,-1.1144821170594328,13.393064375970841,-0.050000000000000044,-0.07894197276501386,0.05885714285714286,0.023986293546544833
ANV,0.5042319279846862,0.417011608988806,-0.7472527472527473,0.9268322593554098,0.0662333819364836,0.04947201998940609,,0.0007275455381316118,,-2.050527633057665,30.842578585830566,-0.058173372708256454,-0.07287248078101642,0.045714285714285714,0.023986293546544833
ASM,0.605156445780468,0.642227075978154,-1.0,0.8167613352426147,0.13403077965167096,-0.0073171679498058835,,-0.00025435357074560586,,-10.410149409185653,269.1200692418524,-0.059359849540261946,-0.0813831439749905,0.033105022831050226,0.01939532230462065
BAB,0.2813559574567844,0.26528021433522714,-0.6588235294117647,0.9680899964281776,-0.1635125984176888,-0.05121828860109239,,0.00044829817658469454,,0.9027885233705294,23.110088902852546,-0.020855496453900738,-0.04251987091854733,0.017816091954022988,0.023549684089603676
BAF,0.4929944214720612,0.4973800716217801,-0.7534992223950233,0.9249005692261201,0.08138202278465398,0.04391365352775525,,0.0015063308053971033,,-4.662351648011684,66.67767928804504,-0.03708237469476475,-0.07187330014760714,0.029792746113989636,0.019404915912031046
BBC,0.4295788401665229,0.33374447268469326,-0.5675675675675675,0.9525598828702045,-0.14696612086199384,-0.009107988132919808,,0.0035618558013221675,,0.0662795637059114,1.35194512335634,-0.05054429366852268,-0.06319936632055742,0.02408256880733945,0.029226361031518624
BCM,0.5851913636509904,0.6387875150772091,-1.0,0.86722391694069,0.0006659514200536704,0.0322725506674601,,0.0038085792673764746,,-11.562207389261358,317.29553339195013,-0.041714104996837434,-0.07664649107211553,0.04622586307782329,0.023391812865497075
BID,0.5363916569481552,0.6186605529332221,-1.0,0.8306823950508567,0.007213758630573133,-0.004170080625022001,,0.00015094148014370423,,-15.048994309118791,438.33788863902447,-0.04053416474678213,-0.07132009995207284,0.02002288329519451,0.02172670097198399
BMI,0.3775269464519501,0.2770280415384232,-0.6595092024539877,0.9417772042290535,0.02026575947919704,0.0016821802123037563,,0.0021003403757648975,,-0.1582187823448607,2.4816412555806284,-0.03814238566713818,-0.05848508045271881,0.018846373500856654,0.01997716894977169
BMP,0.5081719084828296,0.5729353673199271,-1.0,0.696969434532721,0.04173397736780337,-0.012840210761378517,,0.0020019815322987154,,-17.381089348431825,543.435130345011,-0.0315408026836537,-0.05736802489569743,0.012593016599885518,0.02288329519450801
BSI,0.47388510908474335,0.33112355084044454,-0.7687140115163148,0.9651264622099686,0.08176603049895903,0.017620835441897017,,0.0008259920800022871,,0.05482069133977372,1.0743003919989675,-0.05531377019926633,-0.06870232195527981,0.0498567335243553,0.022336769759450172
BTS,0.5211091580142491,0.3805222774326123,-0.7543859649122807,0.9647253597781458,-0.06113464269329548,0.00988836656700145,,0.002105177968019116,,0.1459677262600857,1.9384885724653262,-0.059529411764705845,-0.07783295744320268,0.07432818753573471,0.026285714285714287
BVB,0.43449584220546117,0.3555409636601052,-0.7234848484848484,0.9598081958335247,0.07792873659392262,0.022249465173053,,0.001052114049804171,,-0.1487778313079604,7.556790013120155,-0.03533702213279674,-0.0686018002767486,0.03136200716845878,0.022381378692927483
BVH,0.5147367453182173,0.594218623946325,-1.0,0.7814449462863952,0.04942513007569948,0.0020114616779323964,,-0.0002214440249281996,,-16.76310949529517,515.0741475949344,-0.037579134917927144,-0.06502024855937143,0.016018306636155607,0.02115494568324757
BWE,0.3004058348939239,0.21577101057374512,-0.44561403508771924,0.9506153633548546,0.03262458120963924,-0.002489214937897503,,0.002053596747252232,,0.021764165799877073,3.440412849771075,-0.0288969900559235,-0.044704396855805066,0.0057110222729868645,0.021118721461187213
CAN,0.6536318978116298,0.5552249709587245,-0.6082251082251082,0.9448563506891643,0.0043249175476177595,-0.04629141150341199,,-0.0029853584041463765,,-0.028895667918860914,1.9896057190015446,-0.09689318956036581,-0.09921951682182985,0.17885714285714285,0.02569960022844089
CEO,0.733581624176888,0.7003287071587798,-1.0,0.9153534874930503,0.07822801924881644,0.019319146785808542,,0.005129421668361847,,-5.695458920067863,124.95705000323586,-0.07305640243902435,-0.10427621872802818,0.12285714285714286,0.021701884637350087
CII,0.5649296440562401,0.6103134530727312,-1.0,0.8211110789547981,0.06816989874858974,0.05518459725540729,,0.0007001038104398616,,-12.615253471702145,353.39791158725683,-0.048419070626687516,-0.07532785095677332,0.02910958904109589,0.02167712492869367
CJC,0.32744488790188775,0.5834750513842555,-0.5375000000000001,0.9617830966154456,0.06978778369811721,-0.031106812221202228,,0.0001918245195397933,,0.06991641853666075,16.782544945217634,0.0,-0.002505272549500256,0.04228571428571429,0.010279840091376356
CLL,0.3533999084180848,0.2993080439575936,-0.40764331210191085,0.9484096518329258,-0.12598238496971242,-0.011938004126285763,,0.0005765748921663476,,-0.1313398188044653,3.5123040285742544,-0.0378737724815183,-0.056893566748187935,0.013706453455168474,0.0228310502283105
CMG,0.41204708319545813,0.31009591720193924,-0.5473833097595474,0.9437649456622809,0.0396472199409387,0.02121376523387872,,0.0035262365003060625,,-0.5616798650093151,6.374848275555509,-0.0408505963590709,-0.06167185781424272,0.03083952027412907,0.021689497716894976
CMT,0.6896101776628283,0.48343081245623454,-0.7544303797468355,0.9503177066791036,-0.11128504991267023,-0.007694956590142191,,0.0073060213759976525,,0.26090736259693004,2.2868553546104895,-0.06934028139656058,-0.09602858918842264,0.1180195739781232,0.020138089758342925
CNG,0.3482808803320965,0.2954370409625518,-0.579520697167756,0.9617944372232015,0.02310530690926122,0.025790091619135324,,0.001530743815411394,,-0.8793535927912701,12.397927134725341,-0.03202498601528997,-0.05607678755012658,0.021701884637350087,0.0182648401826484
CPC,0.4568389502981374,0.4406448005969714,-0.6843373493975904,0.9411301789828346,-0.22065931693267826,-0.002037513064391021,,0.001772613634936835,,-0.1553097218424048,3.738234015809672,-0.05281733746130028,-0.07899698549885238,0.06403659233847914,0.028
