symbol,volatility,max_drawdown,autocorr,hurst,days,norm_vol,norm_dd,norm_autocorr,norm_hurst,composite_score,risk_class
A,0.2915762895976562,0.6678580479478022,-0.08599129980494138,1.0170556001188844,1509,0.14293063769331826,0.5194513073319496,0.42475366613299836,0.7265357850278866,0.3706119590063005,Medium
AAP,0.41995116805844845,0.6957703134135607,0.027363745925659374,1.0035422879511788,1509,0.3506308596026742,0.5637136041700505,0.815444784520923,0.43145906118576394,0.5156012881148457,High
AAPL,0.31756138107279563,0.8277781280810544,-0.09876685323505528,1.025125797613666,1509,0.18497242445434517,0.7730469914914604,0.38072126135149287,0.9027566410227648,0.47232298360175123,High
ABBV,0.27888273237098676,0.6824981742567804,-0.005121412620710883,1.0160922941620198,1509,0.12239348366124209,0.5426671089024179,0.7034809734555257,0.7055010333488348,0.4230038241612108,Medium
ABNB,0.5302761660143481,0.4620100640534759,-0.0018724635539686743,0.9975723074940381,768,0.5291278274855927,0.19302475561286223,0.7146788476770899,0.3010985505402322,0.44260418226753695,Medium
ABT,0.25807218169084684,0.6256921553134553,-0.0887845911392978,1.0053895885580642,1509,0.08872368746633408,0.452586105776937,0.4151262683549002,0.47179672261668726,0.30147023265226347,Low
ADBE,0.37015108466251684,0.7418539474283874,-0.12240757384401806,1.0175523659414751,1509,0.2700583325128161,0.636791423333277,0.2992408163066124,0.737383164976462,0.43264723976407815,Medium
ADP,0.27541963000780123,0.6364290364852258,-0.17367375686241376,1.0288040429086083,1509,0.11679046274349973,0.4696122773760614,0.12254605825818396,0.9830748159934487,0.3104165615612,Low
AEP,0.23255477206459182,0.4816064620957856,0.012252337730189402,1.0217499588255219,1509,0.04743857229838634,0.22410003999529113,0.7633615893684479,0.8290418154150707,0.32178194033313856,Low
AFL,0.29958874517991974,0.727656709455542,-0.07383366386487894,1.0122436144990812,1509,0.15589414599360665,0.6142779386358008,0.4666563476745398,0.6214612530223088,0.4021184348253218,Medium
AIG,0.3917479826723705,0.7498975429080268,-0.010623248963481621,1.012398474429849,1509,0.30500037540300917,0.6495466764388397,0.6845182657957982,0.6248427749214787,0.5162520837441631,High
ALB,0.482734082541042,0.8473173580261953,0.019579144251685138,1.0049255441897242,1509,0.4522085625496992,0.8040316206997451,0.7886142652916543,0.4616638484384112,0.6259821491319753,High
ALGN,0.5529932147737877,0.8113217825992103,0.023720773350384403,1.0273646270095087,1509,0.565882184140367,0.746951092916646,0.8028888632514519,0.9516437262294148,0.7061803468043725,High
ALL,0.2814010635770047,0.5407369021692907,-0.06881461918685818,1.0054321586559147,1509,0.12646794088061875,0.31786702906007164,0.48395505869226685,0.47272628339730827,0.2900109251484532,Low
AMAT,0.45222877554660634,0.833326782142843,-0.13622237652975472,1.011975350740085,1509,0.40285343085940967,0.781845853534246,0.25162652020879056,0.615603444799738,0.5075807769257695,High
