date,open_price,high_price,low_price,close_price,volume_detail
2020-12-14,156.01562004688523,159.70102839444945,156.01562004688523,156.42510986328125,21056400
2020-12-15,155.19664461263022,155.60613444010417,152.73970564778645,153.55868530273438,14870800
2020-12-16,154.78714979455825,155.19663960882957,153.96817016601562,153.96817016601562,8171400
2020-12-17,153.96816031642692,156.42509904488054,153.96816031642692,154.78713989257812,8686200
2020-12-18,155.19664461263022,156.01562426757812,153.14919547526043,153.55868530273438,12678900
2020-12-21,149.46377928827852,151.10173851335554,145.36888122558594,145.36888122558594,18273800
2020-12-22,146.1878662109375,147.41633567489495,143.7309272830226,146.1878662109375,12598300
2020-12-23,146.5973506443937,147.8258200632015,145.36888122558594,145.36888122558594,9969700
2020-12-24,145.3688865682992,147.0068458535758,144.5499069256609,146.1878662109375,7358400
2020-12-25,146.59735107421875,147.4163306891585,146.18786126674885,146.59735107421875,5196700
2020-12-28,147.41631976628707,147.41631976628707,144.54989132638704,144.95938110351562,7816100
2020-12-29,144.95939674698005,146.1878662109375,144.95939674698005,146.1878662109375,5908400
2020-12-30,146.59736572612417,146.59736572612417,144.1404266357422,144.1404266357422,7337300
2021-01-04,143.3214469389482,144.5499164841392,142.9119570905512,144.1404266357422,7455500
2021-01-05,144.14041710434174,146.59735603225667,143.32143746170345,146.1878662109375,9815300
2021-01-06,146.59736136008772,149.46379021349725,145.77838168768497,147.00685119628906,14578500
2021-01-07,148.6448005401527,148.6448005401527,147.00684130555044,147.82582092285156,7760600
2021-01-08,148.64482166321298,151.5112507310986,147.82584192953135,151.1017608642578,14310800
2021-01-11,151.51124514066257,151.51124514066257,148.6448161785419,149.05430603027344,12165600
2021-01-12,149.05429034880325,149.46378015745378,147.00684130555044,147.82582092285156,7747700
2021-01-13,148.6448211669922,148.6448211669922,147.41635157057075,148.6448211669922,7677900
2021-01-14,149.05429034880325,149.05429034880325,147.82582092285156,147.82582092285156,5480200
2021-01-15,148.2353157043457,149.8732749938965,147.4163360595703,147.4163360595703,7785300
2021-01-18,147.4163306891585,147.8258204966284,146.18786126674885,146.59735107421875,5328200
2021-01-19,147.00684088168865,148.23531030409828,146.59735107421875,146.59735107421875,4260500
2021-01-20,147.00684045066296,147.00684045066296,145.36888122558594,145.36888122558594,6911400
2021-01-21,145.77837103185522,147.00684045066296,144.54990161304744,145.36888122558594,7709900
2021-01-22,144.54989132638704,145.3688708806442,144.14040154925848,144.95938110351562,5155700
2021-01-25,145.36889618093318,145.77838602933016,143.3214469389482,144.1404266357422,9287900
2021-01-26,143.73093183047374,145.36889116757314,143.32144199619887,144.54991149902344,5660700
2021-01-27,144.14041633279913,144.95939597105368,143.73092651367188,143.73092651367188,4338000
2021-01-28,143.32143630104505,143.73092611904804,142.50245666503906,142.50245666503906,5659500
2021-01-29,142.9119665899942,143.32145646561025,140.86451721191406,140.86451721191406,8282600
2021-02-01,140.86451721191406,142.50247671437816,140.045537460682,140.86451721191406,3929500
2021-02-02,141.68348693847656,142.91195647840556,141.27399709183356,141.68348693847656,5043300
2021-02-03,142.09296604624964,142.09296604624964,139.6360271520782,140.04551696777344,10454500
2021-02-04,140.04552693086512,140.4550167756922,139.22654724121094,139.22654724121094,7157600
2021-02-05,140.04552693086512,140.04552693086512,138.81705739638386,139.22654724121094,7133200
2021-02-08,140.86453255865004,142.09300231933594,140.86453255865004,142.09300231933594,6643900
2021-02-09,142.91195181710378,144.14042131696428,142.91195181710378,143.32144165039062,8260100
2021-02-10,144.1404519204791,144.1404519204791,142.09300231933594,142.09300231933594,5848300
